Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Open Access,Source
"Zhou Z., Tran P.Q., Breister A.M., Liu Y., Kieft K., Cowley E.S., Karaoz U., Anantharaman K.","METABOLIC: high-throughput profiling of microbial genomes for functional traits, metabolism, biogeochemistry, and community-scale functional networks",2022,"Microbiome","10","1","33","","",,,"10.1186/s40168-021-01213-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124779365&doi=10.1186%2fs40168-021-01213-8&partnerID=40&md5=c06e99981ad384656a73df1aab83c32e","Background: Advances in microbiome science are being driven in large part due to our ability to study and infer microbial ecology from genomes reconstructed from mixed microbial communities using metagenomics and single-cell genomics. Such omics-based techniques allow us to read genomic blueprints of microorganisms, decipher their functional capacities and activities, and reconstruct their roles in biogeochemical processes. Currently available tools for analyses of genomic data can annotate and depict metabolic functions to some extent; however, no standardized approaches are currently available for the comprehensive characterization of metabolic predictions, metabolite exchanges, microbial interactions, and microbial contributions to biogeochemical cycling. Results: We present METABOLIC (METabolic And BiogeOchemistry anaLyses In miCrobes), a scalable software to advance microbial ecology and biogeochemistry studies using genomes at the resolution of individual organisms and/or microbial communities. The genome-scale workflow includes annotation of microbial genomes, motif validation of biochemically validated conserved protein residues, metabolic pathway analyses, and calculation of contributions to individual biogeochemical transformations and cycles. The community-scale workflow supplements genome-scale analyses with determination of genome abundance in the microbiome, potential microbial metabolic handoffs and metabolite exchange, reconstruction of functional networks, and determination of microbial contributions to biogeochemical cycles. METABOLIC can take input genomes from isolates, metagenome-assembled genomes, or single-cell genomes. Results are presented in the form of tables for metabolism and a variety of visualizations including biogeochemical cycling potential, representation of sequential metabolic transformations, community-scale microbial functional networks using a newly defined metric “MW-score” (metabolic weight score), and metabolic Sankey diagrams. METABOLIC takes ~ 3 h with 40 CPU threads to process ~ 100 genomes and corresponding metagenomic reads within which the most compute-demanding part of hmmsearch takes ~ 45 min, while it takes ~ 5 h to complete hmmsearch for ~ 3600 genomes. Tests of accuracy, robustness, and consistency suggest METABOLIC provides better performance compared to other software and online servers. To highlight the utility and versatility of METABOLIC, we demonstrate its capabilities on diverse metagenomic datasets from the marine subsurface, terrestrial subsurface, meadow soil, deep sea, freshwater lakes, wastewater, and the human gut. Conclusion: METABOLIC enables the consistent and reproducible study of microbial community ecology and biogeochemistry using a foundation of genome-informed microbial metabolism, and will advance the integration of uncultivated organisms into metabolic and biogeochemical models. METABOLIC is written in Perl and R and is freely available under GPLv3 at https://github.com/AnantharamanLab/METABOLIC. [MediaObject not available: see fulltext.] © 2022, The Author(s).","Biogeochemistry; Functional traits; Metabolic potential; Metagenome-assembled genomes; Microbial functional networks; Microbiome","inorganic compound; organic compound; peptidase; sulfite reductase; thiouridine; Article; biogeochemical cycling; biogeochemistry; carbohydrate metabolism; computer model; downstream processing; energy metabolism; evolution; gene expression profiling; gene mapping; gene network analysis; gene ontology; genetic trait; high throughput sequencing; hydrothermal vent; metabolic pathway analysis; metabolic weight score; metabolism; metagenomics; microbial community; microbial diversity; microbial genome; molecular genetics; nonhuman; open reading frame; phylogeny; protein motif; RNA translation; taxonomic identification; taxonomy; transcriptome sequencing; water treatment",Article,"All Open Access, Gold, Green",Scopus
"Staloch B.E.K., Niero H., Freitas R.C.D., Ballone P., Rodrigues-Costa F., Trivella D.B.B., Dessen A., Silva M.A.C.D., Lima A.O.D.S.","Draft genome sequence of Psychrobacter nivimaris LAMA 639 and its biotechnological potential",2022,"Data in Brief","41",,"107927","","",,,"10.1016/j.dib.2022.107927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124562347&doi=10.1016%2fj.dib.2022.107927&partnerID=40&md5=295d59500ed826e23b431c07d1c4fc49","Bacteria of the genus Psychrobacter are known for their psychrophilic characteristics, being extremophilic organisms capable of surviving and reproducing in hostile environments of low temperature and high pressure. Among many of the genus characteristics, there is the ability to produce enzymes and molecules of industrial biotechnology importance, such as pigments and proteins related to heavy metal bioremediation. The bacterium strain Psychrobacter nivimaris LAMA 639 was isolated from sediments from the Walvis Ridge ocean crest at a depth of 4.400 m (33.40 S 2.35 E). It is a nonmotile, halotolerant, cream-colored gram-negative aerobic bacterium. Its cultivation was performed in marine agar plates and inoculated into test tubes with NaCl at an optimal temperature of 30 °C and with shaking at 100 rpm. Genome extraction was performed with the DNeasy Blood & Tissue Kit (QIAGEN®). Sequencing was performed by Macrogen using the NovaSeq® 6000 platform (Illumina) applying the whole genome shotgun (WGS) method. Thereafter, 14.712.526 reads of 151 bp were generated, totaling 2.2 G bp with a GC content of 42.9%. Assembly and mapping were performed with a CLC Genomics Workbench. The best assembly considered was the one with the lowest number of contigs and the highest base length pair. The assemblies were evaluated using QUAST, and the best resulting variant was selected for annotation. Genome annotation was performed with RAST and PATRIC; the antiSMASH tool was used for secondary metabolites; NaPDoS was used for domains; and three-dimensional structural prediction of relevant proteins was performed using Phyre2. Annotation with ClassicRAST generated 2,891 coding sequences (CDSs) distributed in 402 subsystems. Annotation with PATRIC generated 2,896 coding sequences, among them 776 hypothetical proteins. The antiSMASH tool visualized a beta-lactone cluster in contig 06. In the search for natural products with NaPDoS, two ketosynthase domains were identified. The search for relevant proteins was performed using the AMFEP list as a criterion. From these data, 34 possible enzymes with biotechnological potential were found. Finally, the organism is presented as a new reference regarding the potential of deep-sea marine bacteria, demonstrating that, from the annotated and cured genome, it is possible to find in its genetic repertory products of interest for biotechnological applications. © 2022","Enzyme exploiting; Extremophile; Illumina; Psychrobacter; Whole-genome sequencing",,Data Paper,"All Open Access, Gold, Green",Scopus
"Murdoch R.W., Chen G., Kara Murdoch F., Mack E.E., Villalobos Solis M.I., Hettich R.L., Löffler F.E.","Identification and widespread environmental distribution of a gene cassette implicated in anaerobic dichloromethane degradation",2022,"Global Change Biology","28","7",,"2396","2412",,,"10.1111/gcb.16068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122764774&doi=10.1111%2fgcb.16068&partnerID=40&md5=dfdf17985bcb5fceb497cf8fa6bceb32","Anthropogenic activities and natural processes release dichloromethane (DCM, methylene chloride), a toxic chemical with substantial ozone-depleting capacity. Specialized anaerobic bacteria metabolize DCM; however, the genetic basis for this process has remained elusive. Comparative genomics of the three known anaerobic DCM-degrading bacterial species revealed a homologous gene cluster, designated the methylene chloride catabolism (mec) gene cassette, comprising 8–10 genes encoding proteins with 79.6%–99.7% amino acid identities. Functional annotation identified genes encoding a corrinoid-dependent methyltransferase system, and shotgun proteomics applied to two DCM-catabolizing cultures revealed high expression of proteins encoded on the mec gene cluster during anaerobic growth with DCM. In a DCM-contaminated groundwater plume, the abundance of mec genes strongly correlated with DCM concentrations (R2 = 0.71–0.85) indicating their potential value as process-specific bioremediation biomarkers. mec gene clusters were identified in metagenomes representing peat bogs, the deep subsurface, and marine ecosystems including oxygen minimum zones (OMZs), suggesting a capacity for DCM degradation in diverse habitats. The broad distribution of anaerobic DCM catabolic potential infers a role for DCM as an energy source in various environmental systems, and implies that the global DCM flux (i.e., the rate of formation minus the rate of consumption) might be greater than emission measurements suggest. © 2022 John Wiley & Sons Ltd.","anaerobic degradation; bioremediation; climate change; dichloromethane flux; ozone destruction",,Article,"",Scopus
"Benzerara K., Duprat E., Bitard-Feildel T., Caumes G., Cassier-Chauvat C., Chauvat F., Dezi M., Diop S.I., Gaschignard G., Görgen S., Gugger M., López-García P., Millet M., Skouri-Panet F., Moreira D., Callebaut I.","A New Gene Family Diagnostic for Intracellular Biomineralization of Amorphous Ca Carbonates by Cyanobacteria",2022,"Genome biology and evolution","14","3",,"","",,,"10.1093/gbe/evac026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125679651&doi=10.1093%2fgbe%2fevac026&partnerID=40&md5=5319f6e7cda04f87da8ea22c04e11a2e","Cyanobacteria have massively contributed to carbonate deposition over the geological history. They are traditionally thought to biomineralize CaCO3 extracellularly as an indirect byproduct of photosynthesis. However, the recent discovery of freshwater cyanobacteria-forming intracellular amorphous calcium carbonates (iACC) challenges this view. Despite the geochemical interest of such a biomineralization process, its molecular mechanisms and evolutionary history remain elusive. Here, using comparative genomics, we identify a new gene (ccyA) and protein family (calcyanin) possibly associated with cyanobacterial iACC biomineralization. Proteins of the calcyanin family are composed of a conserved C-terminal domain, which likely adopts an original fold, and a variable N-terminal domain whose structure allows differentiating four major types among the 35 known calcyanin homologs. Calcyanin lacks detectable full-length homologs with known function. The overexpression of ccyA in iACC-lacking cyanobacteria resulted in an increased intracellular Ca content. Moreover, ccyA presence was correlated and/or colocalized with genes involved in Ca or HCO3- transport and homeostasis, supporting the hypothesis of a functional role of calcyanin in iACC biomineralization. Whatever its function, ccyA appears as diagnostic of intracellular calcification in cyanobacteria. By searching for ccyA in publicly available genomes, we identified 13 additional cyanobacterial strains forming iACC, as confirmed by microscopy. This extends our knowledge about the phylogenetic and environmental distribution of cyanobacterial iACC biomineralization, especially with the detection of multicellular genera as well as a marine species. Moreover, ccyA was probably present in ancient cyanobacteria, with independent losses in various lineages that resulted in a broad but patchy distribution across modern cyanobacteria. © The Author(s) 2022. Published by Oxford University Press on behalf of the Society for Molecular Biology and Evolution.","amorphous calcium carbonates; biomineralization; cyanobacteria; glycine zipper motifs, comparative genomics; phylogeny; protein structure prediction",,Article,"All Open Access, Gold, Green",Scopus
"Portnoy D.S., Fields A.T., Puritz J.B., Hollenbeck C.M., Patterson W.F.","Genomic analysis of red snapper, Lutjanus campechanus, population structure in the U.S. Atlantic and Gulf of Mexico",2022,"ICES Journal of Marine Science","79","1",,"12","21",,,"10.1093/icesjms/fsab239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125438084&doi=10.1093%2ficesjms%2ffsab239&partnerID=40&md5=15fca4e91c5d4b2d7d045cc7344fe63d","Red snapper, Lutjanus campechanus, supports one of the more important fisheries in marine waters of the United States. Consequently, it has been the focus of intensive fisheries research for more than 20 years. Here, we present a genomic analysis of population structure that uses a landscape genetics approach to characterize patterns of variation in adult red snapper in the Gulf of Mexico (GOM) alongside a synoptic view of decades of stock-structure research. The results support Atlantic and GOM stocks and indicate weak heterogeneity within the GOM. Furthermore, redundancy analysis using Moran Eigenvector Maps based on physical distance, larval dispersal probability, and adult dispersal probability reveal heterogeneity on various spatial scales, with adult movement explaining a larger component of variation than spatial position or larval dispersal. Results of this study support the idea that red snapper in the GOM display metapopulation structure, but also suggest a potential genetic discontinuity along the West Florida Shelf not previously described. The approach of using landscape genomics and dispersal data (larval and/or adult) to better understand metapopulation dynamics is promising for not only red snapper, but also for other marine species that occupy a diversity of habitats and are seemingly distributed continuously. © 2021 The Author(s).","adult movement; landscape genetics; larval dispersal; Lutjanus campechanus; next-generation sequencing","dispersal; genetic variation; genomics; heterogeneity; metapopulation; population distribution; population structure; Atlantic Coast [North America]; Atlantic Coast [United States]; Atlantic Ocean; Gulf of Mexico; United States; West Florida Shelf",Article,"All Open Access, Bronze",Scopus
"Jahnke M., Moknes P.-O., Le Moan A., Martens G.A., Jonsson P.R.","Seascape genomics identify adaptive barriers correlated to tidal amplitude in the shore crab Carcinus maenas",2022,"Molecular Ecology",,,,"","",,,"10.1111/mec.16371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124535215&doi=10.1111%2fmec.16371&partnerID=40&md5=3210690a69f50e953e41f360da0bf1f2","Most marine invertebrates disperse during a planktonic larval stage that may drift for weeks with ocean currents. A challenge for larvae of coastal species is to return to coastal nursery habitats. Shore crab (Carcinus maenas L.) larvae are known to show tidal rhythmicity in vertical migration in tidal areas and circadian rhythmicity in microtidal areas, which seems to increase successful coastal settlement. We studied genome-wide differentiation based on 24,000 single nucleotide polymorphisms of 12 native populations of shore crab sampled from a large tidal amplitude gradient from macrotidal (~8 m) to microtidal (~0.2 m). Dispersal and recruitment success of larvae was assessed with a Lagrangian biophysical model, which showed a strong effect of larval behaviour on long-term connectivity, and dispersal barriers that partly coincided with different tidal environments. The genetic population structure showed a subdivision of the samples into three clusters, which represent micro-, meso- and macrotidal areas. The genetic differentiation was mostly driven by 0.5% outlier loci, which showed strong allelic clines located at the limits between the three tidal areas. Demographic modelling suggested that the two genetic barriers have different origins. Differential gene expression of two clock genes (cyc and pdp1) further highlighted phenotypic differences among genetic clusters that are potentially linked to the differences in larval behaviour. Taken together, our seascape genomic study suggests that tidal regime acts as a strong selection force on shore crab population structure, consistent with larval behaviour affecting dispersal and recruitment success. © 2022 The Authors. Molecular Ecology published by John Wiley & Sons Ltd.","behaviour; biophysical modelling; Carcinus maenas; gene expression; gene flow; seascape",,Article,"All Open Access, Hybrid Gold",Scopus
"Pootakham W., Sonthirod C., Naktang C., Kongkachana W., Sangsrakru D., U-thoomporn S., Maknual C., Meepol W., Promchoo W., Maprasop P., Phormsin N., Tangphatsornruang S.","A chromosome-scale reference genome assembly of yellow mangrove (Bruguiera parviflora) reveals a whole genome duplication event associated with the Rhizophoraceae lineage",2022,"Molecular Ecology Resources",,,,"","",,1,"10.1111/1755-0998.13587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123889739&doi=10.1111%2f1755-0998.13587&partnerID=40&md5=cb8af35eef1cdd265c1d6b0857535257","Mangrove forest ecosystems support a diverse flora and fauna of marine and terrestrial species and have important direct and indirect economic, ecological and social values to mankind. Yellow mangrove (Bruguiera parviflora) belongs to the Rhizophoraceae family and is widely distributed in the intertidal zones along sheltered coastal areas in tropical latitudes. Here, we present a high-quality, chromosome-level assembly of the B. parviflora genome. We employed the 10x Genomics linked-read technology to obtain a preliminary assembly, which was subsequently scaffolded using the long-range chromatin contact mapping technique (HiC) to obtain a final assembly containing 213,026,782 bases in 10,045 scaffolds with an N50 length of 10,906,948 bases. Our gene prediction recovered 96.5% of the highly conserved orthologues in the Embryophyta lineage based on the Benchmarking Universal Single-Copy Orthologues (BUSCO) analysis. We analysed the transversion rate at fourfold-degenerate sites from orthologous gene pairs and discovered evidence supporting a recent whole-genome duplication event in B. parviflora and other Rhizophoreae members. Comparative studies based on single-copy orthologous genes indicated that B. parviflora and Bruguiera gymnorrhiza diverged approximately 24.1 million years ago. The population structure analysis revealed that 63 B. parviflora accessions from different geographical regions in Thailand were an admixture of two subpopulations. The examination of alternative splicing events in B. parviflora showed that the most prevalent splicing mechanism was intron retention. This high-quality genome assembly together with the genetic diversity information obtained from the germplasm provide useful genomic resources for future studies on comparative phylogenetics and evolution of adaptive traits in mangrove species. © 2022 John Wiley & Sons Ltd",,,Article,"",Scopus
"Smith E.G., Hazzouri K.M., Choi J.Y., Delaney P., Al-Kharafi M., Howells E.J., Aranda M., Burt J.A.","Signatures of selection underpinning rapid coral adaptation to the world’s warmest reefs",2022,"Science Advances","8","2","eabl7287","","",,,"10.1126/sciadv.abl7287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122884635&doi=10.1126%2fsciadv.abl7287&partnerID=40&md5=ba84ed090ba6dd0d9e799d110c8faa30","Coral populations in the world’s warmest reefs, the Persian/Arabian Gulf (PAG), represent an ideal model system to understand the evolutionary response of coral populations to past and present environmental change and to identify genomic loci that contribute to elevated thermal tolerance. Here, we use population genomics of the brain coral Platygyra daedalea to show that corals in the PAG represent a distinct subpopulation that was established during the Holocene marine transgression, and identify selective sweeps in their genomes associated with thermal adaptation. We demonstrate the presence of positive and disruptive selection and provide evidence for selection of differentially methylated haplotypes. While demographic analyses suggest limited potential for genetic rescue of neighboring Indian Ocean reefs, the presence of putative targets of selection in corals outside of the PAG offers hope that loci associated with thermal tolerance may be present in the standing genetic variation. Copyright © 2022 The Authors, some rights reserved; exclusive licensee American Association for the Advancement of Science. No claim to original U.S. Government Works. Distributed under a Creative Commons Attribution License 4.0 (CC BY).",,"Genes; Arabian Gulf; Environmental change; Genomic locus; Holocenes; Ideal model; Marine transgression; Modelling systems; Past and present; Persians; Thermal tolerance; Reefs; article; coral",Article,"All Open Access, Gold, Green",Scopus
"Vasquez I., Hossain A., Gnanagobal H., Valderrama K., Campbell B., Ness M., Charette S.J., Gamperl A.K., Cipriano R., Segovia C., Santander J.","Comparative Genomics of Typical and Atypical Aeromonas salmonicida Complete Genomes Revealed New Insights into Pathogenesis Evolution",2022,"Microorganisms","10","1","189","","",,,"10.3390/microorganisms10010189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122879344&doi=10.3390%2fmicroorganisms10010189&partnerID=40&md5=e15147044d17780fa524864a1652a0bf","Aeromonas salmonicida is a global distributed Gram-negative teleost pathogen, affecting mainly salmonids in fresh and marine environments. A. salmonicida strains are classified as typical or atypical depending on their origin of isolation and phenotype. Five subspecies have been described, where A. salmonicida subsp. salmonicida is the only typical subspecies, and the subsp. achromogenes, masoucida, smithia, and pectinolytica are considered atypical. Genomic differences between A. salmonicida subsp. salmonicida isolates and their relationship with the current classification have not been explored. Here, we sequenced and compared the complete closed genomes of four virulent strains to elucidate their molecular diversity and pathogenic evolution using the more accurate genomic information so far. Phenotypes, biochemical, and enzymatic profiles were determined. PacBio and MiSeq sequencing platforms were utilized for genome sequencing. Comparative genomics showed that atypical strains belong to the subsp. salmonicida, with 99.55% ± 0.25% identity with each other, and are closely related to typical strains. The typical strain A. salmonicida J223 is closely related to typical strains, with 99.17% identity with the A. salmonicida A449. Genomic differences between atypical and typical strains are strictly related to insertion sequences (ISs) activity. The absence and presence of genes encoding for virulence factors, transcriptional regulators, and non-coding RNAs are the most significant differences between typical and atypical strains that affect their phenotypes. Plasmidome plays an important role in A. salmonicida virulence and genome plasticity. Here, we determined that typical strains harbor a larger number of plasmids and virulence-related genes that contribute to its acute virulence. In contrast, atypical strains harbor a single, large plasmid and a smaller number of virulence genes, reflected by their less acute virulence and chronic infection. The relationship between phenotype and A. salmonicida subspecies’ taxonomy is not evident. Comparative genomic analysis based on completed genomes revealed that the subspecies classification is more of a reflection of the ecological niche occupied by bacteria than their divergences at the genomic level except for their accessory genome. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Aeromonas salmonicida; Genomics; Insertion sequences; Plasmidome; Taxonomy; Virulence",,Article,"All Open Access, Gold, Green",Scopus
"Guillotin S., Delcourt N.","Marine neurotoxins’ effects on environmental and human health: An omics overview",2022,"Marine Drugs","20","1","18","","",,,"10.3390/md20010018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121653280&doi=10.3390%2fmd20010018&partnerID=40&md5=9ba0f2d248b774cb0739ea5110dd605d","Harmful algal blooms (HAB), and the consequent release of toxic metabolites, can be responsible for seafood poisoning outbreaks. Marine wildlife can accumulate these toxins throughout the food chain, which presents a threat to consumers’ health. Some of these toxins, such as saxitoxin (STX), domoic acid (DA), ciguatoxin (CTX), brevetoxin (BTX), tetrodotoxin (TTX), and β-N-methylamino-L-alanine (BMAA), cause severe neurological symptoms in humans. Considerable information is missing, however, notably the consequences of toxin exposures on changes in gene expression, protein profile, and metabolic pathways. This information could lead to understanding the consequence of marine neurotoxin exposure in aquatic organisms and humans. Nevertheless, recent contributions to the knowledge of neurotoxins arise from OMICS-based research, such as genomics, transcriptomics, proteomics, and metabolomics. This review presents a comprehensive overview of the most recent research and of the available solutions to explore OMICS datasets in order to identify new features in terms of ecotoxicology, food safety, and human health. In addition, future perspectives in OMICS studies are discussed. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Ecotoxicology; Food safety; Genomics; HAB; Human toxicology; Marine neurotoxins; Metabolomics; Proteomics; Transcriptomics","neurotoxin; algal bloom; animal; aquatic species; factual database; food safety; Animals; Aquatic Organisms; Databases, Factual; Food Safety; Harmful Algal Bloom; Neurotoxins",Review,"All Open Access, Gold, Green",Scopus
