Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Open Access,Source
"Doria H.B., Hannappel P., Pfenninger M.","Whole genome sequencing and RNA-seq evaluation allowed to detect Cd adaptation footprint in Chironomus riparius",2022,"Science of the Total Environment","819",,"152843","","",,,"10.1016/j.scitotenv.2021.152843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123029293&doi=10.1016%2fj.scitotenv.2021.152843&partnerID=40&md5=20d790d0605c236de10a57c23d4f0307","Evolutionary adaptation and phenotypic plasticity are important processes on how organisms respond to pollutant exposure. We dissected here the contribution of both processes to increased tolerance in Chironomus riparius to cadmium (Cd) exposure in a multi-generation experiment and inferred the underlying genomic basis. We simulated environmentally realistic conditions by continuously increasing contaminant concentration in six replicates initiated with 1000 larvae each, three pre-exposed to Cd and three not exposed to Cd (no-Cd) over eight generations. We measured life-cycle traits, transcriptomic responses and genome-wide allele frequency changes from this evolve and resequencing (E&R) experiment. Overall, life cycle tests revealed little phenotypic adaptation to Cd exposure, but a slightly increase in survival in the first larval stage was observed. Population genomic analyses showed a strong genome-wide selective response in all replicates, highlighting two main biological functions involved in development and growth of the chironomids. Emphasizing that laboratory conditions continually exert selective pressure. However, the integration of the transcriptomic to the genomic data allowed to distinguish pathways specifically selected by the Cd exposure related to microtubules and organelles and cellular movement. Those pathways could be functionally related to an excretion of metals. Thus, our results indicate that genetic adaptation to Cd in C. riparius can happen within few generations under an environmentally relevant exposure scenario, but substantial phenotypic tolerance might take more time to arise. With our approach, we introduce an experimental setup to fill the existing gap in evolutionary ecotoxicology to investigate these early signs of genetic adaptation. © 2022 Elsevier B.V.","Adaptation; Chironomids; Genomics; Toxic metal; Whole genome sequencing","Animals; Genes; Life cycle; Population statistics; Adaptation; Cadmium exposure; Chironomids; Chironomus riparius; Evolutionary adaptation; Exposed to; Phenotypic plasticity; Toxic metals; Transcriptomics; Whole genome sequencing; Genome; cadmium; adaptation; cadmium; fly; genomics; phenotypic plasticity; RNA; toxic substance; animal experiment; Article; cell organelle; Chironomidae; Chironomus riparius; concentration (parameter); contamination; controlled study; environmental exposure; evolutionary adaptation; female; gene frequency; genetic analysis; genomics; larval stage; life cycle; microtubule; nonhuman; phenotype; RNA sequencing; simulation; survival; transcriptomics; whole genome sequencing",Article,"",Scopus
"Fifer J.E., Yasuda N., Yamakita T., Bove C.B., Davies S.W.","Genetic divergence and range expansion in a western North Pacific coral",2022,"Science of the Total Environment","813",,"152423","","",,,"10.1016/j.scitotenv.2021.152423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122161688&doi=10.1016%2fj.scitotenv.2021.152423&partnerID=40&md5=8c2be656aa17fe64deb9c8507a8ef66b","Coral poleward range expansions have recently been observed in response to warming oceans. Range expansion can lead to reduced genetic diversity and increased frequency of deleterious mutations that were rare in core populations, potentially limiting the ability for adaptation and persistence in novel environments. Successful expansions that overcome these founder effects and colonize new habitat have been attributed to multiple introductions from different sources, hybridization with native populations, or rapid adaptive evolution. Here, we investigate population genomic patterns of the reef-building coral Acropora hyacinthus along a latitudinal cline that includes a well-established range expansion front in Japan using 2b-RAD sequencing. A total of 184 coral samples were collected across seven sites spanning from ~24°N to near its northern range front at ~33°N. We uncover the presence of three cryptic lineages of A. hyacinthus, which occupy discrete reefs within this region. Only one lineage is present along the expansion front and we find evidence for its historical occupation of marginal habitats. Within this lineage we also find evidence of bottleneck pressures associated with expansion events including higher clonality, increased linkage disequilibrium, and lower genetic diversity in range edge populations compared to core populations. Asymmetric migration between populations was also detected with lower migration from edge sites. Lastly, we describe genomic signatures of local adaptation potentially attributed to lower winter temperatures experienced at the more recently expanded northern populations. Together these data illuminate the genomic consequences of range expansion in a coral and highlight how adaptation to discrete environments along expansion fronts may facilitate further range expansion in this temperate coral lineage. © 2021 Elsevier B.V.","2bRAD-seq; Adaptation; Coral; Cryptic lineage; Population genomics; Range expansion","Biodiversity; Ecosystems; Expansion; Reefs; 2bRAD-seq; Adaptation; Coral; Cryptic lineage; Genetic divergence; Genetics diversities; Genomics; Population genomic; Range expansion; Western North Pacific; Genes; adaptation; coral; genomics; hybridization; population genetics; range expansion; Acropora; article; clonal variation; coral; gene linkage disequilibrium; genetic variability; habitat; Hyacinthus; Japan; local adaptation; major clinical study; nonhuman; occupation; population genomics; winter; acclimatization; adaptation; animal; Anthozoa; coral reef; ecosystem; genetic variation; genetics; temperature; Pacific Ocean; Pacific Ocean (North); Acclimatization; Adaptation, Physiological; Animals; Anthozoa; Coral Reefs; Ecosystem; Genetic Variation; Temperature",Article,"",Scopus
"Zhou L., Ouyang X., Zhao Y., Gomes-Silva G., Segura-Muñoz S.I., Jourdan J., Riesch R., Plath M.","Invasive fish retain plasticity of naturally selected, but diverge in sexually selected traits",2022,"Science of the Total Environment","811",,"152386","","",,,"10.1016/j.scitotenv.2021.152386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121371398&doi=10.1016%2fj.scitotenv.2021.152386&partnerID=40&md5=b0b157fab74c9c8fd18f8977755f315d","Invasive alien species (IAS) have become a major threat to ecosystems worldwide. From an evolutionary ecological perspective, they allow teasing apart the relative contributions of plasticity and evolutionary divergence in driving rapid phenotypic diversification. When IAS spread across extensive geographic ranges, climatic variation may represent a source of strong natural selection through overwinter mortality and summer heat stress. This could favour local adaptation, i.e., evolutionary divergence of certain traits. IAS, however, are likely to show plasticity in survival-related traits, and environmental fluctuation in their new distribution range could favour the maintenance of this pre-existing phenotypic plasticity. By contrast, sexually selected traits are more likely to undergo evolutionary divergence when components of sexual selection differ geographically. Here, using data from a common-garden rearing experiment of Western mosquitofish (Gambusia affinis Baird and Girard, 1853) from five populations across the species' invasive range in China, we show that invasive mosquitofish have retained plasticity in key physiological (thermal tolerances), morphological and life-history traits even 100 years after their introduction to China, but exhibit heritable population differences in several sexually selected traits, including the shape of the male copulatory organ. Adaptive plasticity of traits linked to immediate survival in different thermal environments—while likely responsible for the species' extraordinary invasion success—could slow down genetic evolution. Several sexually selected traits could diverge geographically and show rapid evolutionary change, e.g., because climate alters selective landscapes arising from mate competition as an indirect consequence of variation in overwinter mortality. © 2021 Elsevier B.V.","Adaptive plasticity; Biological invasion; Gambusia affinis; Local adaptation; Rapid evolution; Thermal tolerance","Biology; Climate change; Ecology; Adaptive plasticity; Biological invasion; Gambusia affinis; Geographic ranges; Invasive alien species; Invasive fishes; Local adaptation; Rapid evolution; Relative contribution; Thermal tolerance; Population statistics; biological invasion; cyprinid; divergence; fish; invasive species; natural selection; phenotypic plasticity; sexual behavior; temperature tolerance; adult; article; China; climate; competition; controlled study; Gambusia affinis; heat tolerance; introduced species; life history trait; local adaptation; male; mortality; nonhuman; phenotypic plasticity; rearing; sexual selection; species invasion; adaptation; animal; Cyprinodontiformes; ecosystem; evolution; introduced species; phenotype; China; Adaptation, Physiological; Animals; Biological Evolution; Cyprinodontiformes; Ecosystem; Introduced Species; Male; Phenotype",Article,"",Scopus
"Fernandez-Figueroa E.G., Wilson A.E.","Local adaptation mediates direct and indirect effects of multiple stressors on consumer fitness",2022,"Oecologia","198","2",,"483","492",,,"10.1007/s00442-022-05118-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124322562&doi=10.1007%2fs00442-022-05118-7&partnerID=40&md5=e58bc96c2acdf803b4ec727368367997","Anthropogenic impacts are expected to increase the co-occurrence of stressors that can fundamentally alter ecosystem structure and function. To cope with stress, many organisms locally adapt, but how such adaptations affect the ability of an organism to manage co-occurring stressors is not well understood. In aquatic ecosystems, elevated temperatures and harmful algal blooms are common co-stressors. To better understand the role and potential trade-offs of local adaptations for mitigating the effects of stressors, Daphnia pulicaria genotypes that varied in their ability to consume toxic cyanobacteria prey (i.e., three tolerant and three sensitive) were exposed to five diets that included combinations of toxic cyanobacteria, Microcystis aeruginosa, and a green alga, Ankistrodesmus falcatus, under two temperatures (20 °C vs. 28 °C). A path analysis was conducted to understand how local adaptations affect energy allocation to intermediate life history traits (i.e., somatic growth, fecundity, survival) that maximize Daphnia fitness (i.e., population growth rate). Results from the 10-day study show that tolerant Daphnia genotypes had higher fitness than sensitive genotypes regardless of diet or temperature treatment, suggesting toxic cyanobacteria tolerance did not cause a decrease in fitness in the absence of cyanobacteria or under elevated temperatures. Results from the path analysis demonstrated that toxic cyanobacteria had a stronger effect on life history traits than temperature and that population growth rate was mainly constrained by reduced fecundity. These findings suggest that local adaptations to toxic cyanobacteria and elevated temperatures are synergistic, leading to higher survivorship of cyanobacteria-tolerant genotypes during summer cyanobacterial bloom events. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Climate change; Daphnia; Harmful algal blooms (HABs); Path analysis; Toxic cyanobacteria","algal bloom; climate change; cyanobacterium; ecosystem structure; growth rate; life history trait; local adaptation; path analysis; population growth; survivorship; acclimatization; animal; cyanobacterium; Daphnia; ecosystem; Microcystis; Acclimatization; Animals; Cyanobacteria; Daphnia; Ecosystem; Microcystis",Article,"",Scopus
"Láruson Á.J., Fitzpatrick M.C., Keller S.R., Haller B.C., Lotterhos K.E.","Seeing the forest for the trees: Assessing genetic offset predictions from gradient forest",2022,"Evolutionary Applications",,,,"","",,,"10.1111/eva.13354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125199602&doi=10.1111%2feva.13354&partnerID=40&md5=f88db945f47455a84fc9974c71259b68","Gradient Forest (GF) is a machine learning algorithm designed to analyze spatial patterns of biodiversity as a function of environmental gradients. An offset measure between the GF-predicted environmental association of adapted alleles and a new environment (GF Offset) is increasingly being used to predict the loss of environmentally adapted alleles under rapid environmental change, but remains mostly untested for this purpose. Here, we explore the robustness of GF Offset to assumption violations, and its relationship to measures of fitness, using SLiM simulations with explicit genome architecture and a spatial metapopulation. We evaluate measures of GF Offset in: (1) a neutral model with no environmental adaptation; (2) a monogenic “population genetic” model with a single environmentally adapted locus; and (3) a polygenic “quantitative genetic” model with two adaptive traits, each adapting to a different environment. We found GF Offset to be broadly correlated with fitness offsets under both single locus and polygenic architectures. However, neutral demography, genomic architecture, and the nature of the adaptive environment can all confound relationships between GF Offset and fitness. GF Offset is a promising tool, but it is important to understand its limitations and underlying assumptions, especially when used in the context of predicting maladaptation. © 2022 The Authors. Evolutionary Applications published by John Wiley & Sons Ltd.","biodiversity; climate change; gradient forest; landscape genetics; local adaptation; population genetics; quantitative genetics; simulation; SLiM",,Article,"All Open Access, Gold, Green",Scopus
"Liu Y.","Conservation prioritization based on past cascading climatic effects on genetic diversity and population size dynamics: Insights from a temperate tree species",2022,"Diversity and Distributions",,,,"","",,,"10.1111/ddi.13490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125079435&doi=10.1111%2fddi.13490&partnerID=40&md5=c7089eb9e514af04481717b61c595b60","Aim: The biogeographic history affects adaptive evolution by altering the pattern of genetic variation and provides the background upon which other evolutionary processes are operating. Assessment of the consequence of such eco-evolutionary interactions is crucial to population's genetic diversity maintenance. Yet, considering how biogeographic and multiple evolutionary processes interact in complex environments to alter genetic diversity in conservation planning remains unresolved. Location: The Pacific Northwest. Methods: Herein I document the impact of geographic landscapes and past climatic fluctuations on the evolutionary processes that drive population divergence of Populus trichocarpa by assembling genomic, climatic and species occurrence data. Results: Based on inferences of demographic history of the species and tests for niche divergence, results show that the British Columbia (BC)-North and BC-South populations are ancestral and subject to more recent bottlenecks than the Oregon population. Consistently, ecological niche modelling illustrates that compared to the Last Glacial Maximum (~21 Ka), the present niche suitability of the BC-North and -South populations is overall marginally inferior to that of the Oregon population. However, genomic analysis demonstrates that the Oregon harbours the lowest genetic diversity, possibly due to an extended bottleneck experienced by the population. Model prediction indicates that in the 2050s, the impact of climate change is minor compared to the niche suitability of the species as a whole, but climate change will likely result in considerable genetic shifts over two generations especially in the Oregon and BC-South populations, which will attenuate along a northward gradient. Main conclusions: This study underpins the long-lasting impact of demographic histories and natural selection on genetic diversity, rather than highlighting the consequence of recent demographic events (e.g. bottleneck in the Holocene epoch; ~12 Ka) potentially cascading to eroding genetic diversity and yielding conservation urgency. © 2022 The Authors. Diversity and Distributions published by John Wiley & Sons Ltd.","biogeography; bottleneck; climate change; genetic diversity; local adaptation; population divergence; Populus trichocarpa",,Article,"All Open Access, Gold, Green",Scopus
"Bridle J., Hoffmann A.","Understanding the biology of species' ranges: When and how does evolution change the rules of ecological engagement?",2022,"Philosophical Transactions of the Royal Society B: Biological Sciences","377","1848","20210027","","",,1,"10.1098/rstb.2021.0027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125005106&doi=10.1098%2frstb.2021.0027&partnerID=40&md5=cd7439cc82f15439888bd991cee0962a","Understanding processes that limit species ranges has been a core issue in ecology and evolutionary biology for many decades, and has become increasingly important given the need to predict the responses of biological communities to rapid environmental change. However, we still have a poor understanding of evolution at range limits and its capacity to change the ecological rules of engagement that define these communities, as well as the time frame over which this occurs. Here we link papers in the current volume to some key concepts involved in the interactions between evolutionary and ecological processes at species margins. In particular, we separate hypotheses about species margins that focus on hard evolutionary limits, which determine how genotypes interact with their environment, from those concerned with soft evolutionary limits, which determine where and when local adaptation can persist in space and time. We show how theoretical models and empirical studies highlight conditions under which gene flow can expand local limits as well as contain them. In doing so, we emphasize the complex interplay between selection, demography and population structure throughout a species geographical and ecological range that determines its persistence in biological communities. However, despite some impressively detailed studies on range limits, particularly in invertebrates and plants, few generalizations have emerged that can predict evolutionary responses at ecological margins. We outline some directions for future work such as considering the impact of structural genetic variants and metapopulation structure on limits, and the interaction between range limits and the evolution of mating systems and non-random dispersal. © 2022 Royal Society Publishing. All rights reserved.","evolutionary constraints; gene flow; range limits; species borders","article; demography; empiricism; gene flow; genetic variability; genotype; invertebrate; local adaptation; mating system; metapopulation; nonhuman; population structure",Review,"",Scopus
"Jahnke M., Jonsson P.R.","Biophysical models of dispersal contribute to seascape genetic analyses",2022,"Philosophical Transactions of the Royal Society B: Biological Sciences","377","1846","20210024","","",,3,"10.1098/rstb.2021.0024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123655844&doi=10.1098%2frstb.2021.0024&partnerID=40&md5=84489b2153230be292f92645f394f9a8","Dispersal is generally difficult to directly observe. Instead, dispersal is often inferred from genetic markers and biophysical modelling where a correspondence indicates that dispersal routes and barriers explain a significant part of population genetic differentiation. Biophysical models are used for wind-driven dispersal in terrestrial environments and for propagules drifting with ocean currents in the sea. In the ocean, such seascape genetic or seascape genomic studies provide promising tools in applied sciences, as actions within management and conservation rely on an understanding of population structure, genetic diversity and presence of local adaptations, all dependent on dispersal within the metapopulation. Here, we surveyed 87 studies that combine population genetics and biophysical models of dispersal. Our aim was to understand if biophysical dispersal models can generally explain genetic differentiation. Our analysis shows that genetic differentiation and lack of genetic differentiation can often be explained by dispersal, but the realism of the biophysical model, as well as local geomorphology and species biology also play a role. The review supports the use of a combination of both methods, and we discuss our findings in terms of recommendations for future studies and pinpoint areas where further development is necessary, particularly on how to compare both approaches. This article is part of the theme issue 'Species' ranges in the face of changing environments (part I)'. © 2022 The Authors.","biophysical modelling; dispersal; population genetics; seascape genetics; seascape genomics","biophysics; dispersal; ecological modeling; genetic algorithm; genetic analysis; applied science; article; controlled study; genetic analysis; genetic variability; genomics; geomorphology; human; local adaptation; metapopulation; physical model; population genetics; population structure; sea",Review,"All Open Access, Hybrid Gold, Green",Scopus
"Thia J.A.","Ready on arrival: Standing variation at a chromosomal inversion contributes to rapid adaptation in an invasive marine crab",2022,"Molecular ecology","31","1",,"37","40",,,"10.1111/mec.16258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123025480&doi=10.1111%2fmec.16258&partnerID=40&md5=d6f7028827f7a41b755c9de58c36207b","In this issue of Molecular Ecology, Tepolt et al. (2021) illustrate how the genetic architecture of adaptation and life history influence invasive success. A marvel of many invasive species is that they are incredibly successful despite evolutionary expectations that they will have low adaptive potential and suffer inbreeding depression due to initially small founding population sizes. Determining the combinations of ecoevolutionary factors that permit this apparent ""genetic paradox of invasions"" is an ongoing endeavour of invasive species research. Tepolt et al. (2021) study the European green crab in its invasive range on the North American west coast. Following a single introduction into California, this crab quickly spread across a wide latitude gradient, despite low diversity in the original founding population. Adaptation of this crab to clinal variation in temperature appeared largely driven by an inferred chromosomal inversion. This inversion exists as a balanced polymorphism in the European home range of green crabs and is associated with thermal tolerance. Tepolt et al. (2021) therefore demonstrate that adaptive evolution post introduction need not be impeded by bottlenecks if variation at key parts of the genome is available and can be maintained in introduced populations. Moreover, Tepolt et al. (2021) show how chromosomal inversions acting as large-effect loci might facilitate rapid responses to selection in introduced populations. © 2021 John Wiley & Sons Ltd.","Carcinus maenas; clinal adaptation; invasive genetics; marine organisms; population genomics; transcriptomics","acclimatization; animal; Brachyura; chromosome inversion; genetics; introduced species; temperature; Acclimatization; Animals; Brachyura; Chromosome Inversion; Introduced Species; Temperature",Note,"All Open Access, Bronze",Scopus
"DeWitt T.J., Troendle N.J., Mateos M., Mauricio R.","Population genetics and independently replicated evolution of predator-associated burst speed ecophenotypy in mosquitofish",2022,"Heredity","128","1",,"45","55",,,"10.1038/s41437-021-00487-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120787233&doi=10.1038%2fs41437-021-00487-w&partnerID=40&md5=ce73be4273a7bc3a5b8cca7d99a4f0bb","Many species show replicated ecophenotypy due to recurring patterns of natural selection. Based on the presence or absence of pursuit predators, at least 17 species of fish repeatedly differentiated in body shape in a manner that increases burst swimming speed and the likelihood of predator escape. The predator-associated burst speed (PABS) ecophenotype is characterized by a small head and trunk and enlarged caudal region. Mechanisms promoting replicated phenotype-environment association include selection (without evolution), a single instance of adaptive evolution followed by biased habitat occupation, repeated instances of local adaptation, or adaptive phenotypic plasticity. Common garden rearing of mosquitofish, Gambusia affinis, demonstrated a likely heritable basis for PABS phenotypy, but it is unknown whether populations are otherwise genetically distinct or whether replicated ecophenotypy represents a single or replicated instances of adaptation. To genetically characterize the populations and test hypotheses of single or multiple adaptations, we characterized variation in 12 polymorphic DNA microsatellites in the previously studied G. affinis populations. Populations were genetically distinct by multilocus analysis, exhibited high allelic diversity, and were heterozygote deficient, which effects were attributed to G. affinis’s shoaling nature and habitat patchiness. Genetic and phenotypic distances among populations were correlated for non-PABS but not PABS morphology. Multilocus analysis demonstrated ecophenotype polyphyly and scattered multivariate genetic structure which support only the replicated-adaptation model. As all of the diverse tests performed demonstrated lack of congruence between patterns of molecular genetic and PABS differentiation, it is likely that divergent natural selection drove multiple instances of adaptive evolution. © 2021, The Author(s), under exclusive licence to The Genetics Society.",,"fish; local adaptation; morphology; phenotype; population genetics; predator; article; Gambusia affinis; gene structure; genetic association; habitat patchiness; heterozygote; local adaptation; natural selection; nonhuman; occupation; phenotypic plasticity; polyphyly; population genetics; predator; rearing; velocity",Article,"",Scopus
