code	site	latitude_dec	longitude_dec	Date	sample	Reads 106 SD	Mean alleles_locus (SD)	H o	H e	F IS	M	HWE
CZ	Crozon	48.207	-4.377	14-Dec	23	6.23 (1.68)	7.55 (5.14)	0.365	0.496	0.263	152	553
SI	Sidi Ifni	29.391	-10.176	14-Oct	22	3.09 (1.08)	7.38 (4.97)	0.367	0.504	0.271	134	541
TA	Tarifa	36	-5.609	14-Sep	22	4.29 (2.00)	7.57 (4.82)	0.379	0.511	0.257	114	564
LH	La Herradura	36.721	-3.728	14-Sep	22	3.40 (1.36)	7.53 (4.74)	0.378	0.509	0.257	109	568
CA	Carboneras	36.992	-1.886	14-Sep	22	5.06 (1.42)	7.48 (4.73)	0.369	0.498	0.258	117	578
PA	Palos	37.635	-0.689	14-Sep	22	3.60 (1.63)	7.30 (4.65)	0.37	0.494	0.252	122	507
XA	Xàbia	38.753	0.2291	14-Sep	22	5.49 (1.18)	7.38 (4.71)	0.371	0.489	0.242	118	545
CO	Colera	42.391	3.155	15-Feb	22	5.48 (2.68)	7.34 (4.66)	0.369	0.491	0.249	108	531
TR	Trieste	45.691	13.741	14-Dec	22	4.69 (2.18)	7.24 (4.72)	0.367	0.485	0.242	132	494
FI	Fier	40.662	19.28	15-May	22	4.17 (1.07)	7.22 (4.71)	0.366	0.483	0.241	126	516
DL	Dalyan	36.764	28.613	15-Apr	20	5.41 (2.84)	6.73 (4.32)	0.368	0.482	0.237	132	442
