sample	site	region	date	latitude_dec	longitude_dec
MAT_221	HAR	Atlantic	7/10/2013	31.216903	-81.312948
MAT_224	HAR	Atlantic	7/10/2013	31.2538606	-81.330563
MAT_225	HAR	Atlantic	7/17/2013	31.2424476	-81.324251
MAT_230	HAR	Atlantic	7/17/2013	31.2657249	-81.319616
MAT_231	HAR	Atlantic	7/17/2013	31.2789091	-81.318353
MAT_236	HAR	Atlantic	7/17/2013	31.2882001	-81.320269
MAT_237	HAR	Atlantic	7/30/2013	31.2424476	-81.324251
MAT_263	SCA	Atlantic		32.8036667	-79.973833
MAT_264	SCA	Atlantic		32.8391666	-79.988667
MAT_270	SCA	Atlantic		32.8086667	-79.965
MAT_279	SCA	Atlantic		32.92016	-80.14514
MAT_282	SCA	Atlantic		32.91083	-80.1361
MAT_284	SCA	Atlantic		32.7615	-79.9465
MAT_293	SCA	Atlantic		32.7738333	-79.864667
MAT_295	SCA	Atlantic		32.7531666	-79.899833
MAT_305	SCA	Atlantic		32.7556667	-79.931833
MAT_306	SCA	Atlantic		32.7573333	-79.937167
MAT_307	SCA	Atlantic		32.77297	-79.84208
MAT_309	SCA	Atlantic		32.7753333	-79.913333
MAT_337	SCA	Atlantic		32.7541667	-79.926667
MAT_338	CEK	Northeastern	2/19/2013	29.2254667	-83.08475
MAT_341	CEK	Northeastern	3/12/2013	29.28785	-83.144067
MAT_342	CEK	Northeastern	4/3/2013	29.21985	-83.0766
MAT_344	CEK	Northeastern	4/3/2013	29.2315833	-83.059433
MAT_353	CEK	Northeastern	4/8/2013	29.1479167	-83.071333
MAT_354	CEK	Northeastern	4/9/2013	29.2832833	-83.164667
MAT_356	CEK	Northeastern	4/10/2013	29.2868667	-83.080733
MAT_358	CEK	Northeastern	4/10/2013	29.2693167	-83.081683
MAT_362	CEK	Northeastern	4/12/2013	29.2692167	-83.107567
MAT_365	CEK	Northeastern	5/1/2013	29.1599167	-83.0625
MAT_370	CEK	Northeastern	5/15/2013	29.3386	-83.171533
MAT_376	CEK	Northeastern	5/15/2013	29.3040667	-83.171233
MAT_385	CEK	Northeastern	5/15/2013	29.2928	-83.166633
MAT_386	CEK	Northeastern	7/16/2013	29.3064	-83.173867
MAT_387	CEK	Northeastern	8/2/2013	29.2692167	-83.107483
MAT_388	CEK	Northeastern	8/1/2013	29.2753167	-83.0903
MAT_393	CHA	Northeastern	1/11/2013	26.8219167	-82.170517
MAT_394	CHA	Northeastern	1/17/2013	26.9642333	-82.214833
MAT_403	CHA	Northeastern	1/17/2013	26.9989833	-82.25535
MAT_415	CHA	Northeastern	2/21/2013	26.8034167	-82.188317
MAT_418	CHA	Northeastern	2/21/2013	26.7815	-82.161233
MAT_419	CHA	Northeastern	2/26/2013	26.9565833	-82.224867
MAT_420	CHA	Northeastern	3/14/2013	26.9942833	-82.252033
MAT_433	CHA	Northeastern	3/14/2013	26.9701333	-82.014117
MAT_435	CHA	Northeastern	3/15/2013	26.9735333	-82.183
MAT_437	CHA	Northeastern	3/28/2013	26.7855833-82.149783	-82.014117
MAT_440	CHA	Northeastern	3/28/2013	26.9374	-82.185833
MAT_443	CHA	Northeastern	3/28/2013	26.93925	-82.188783
MAT_452	CHA	Northeastern	4/16/2013	26.8198667	-82.246033
MAT_453	CHA	Northeastern	4/23/2013	26.9629667	-81.999033
MAT_465	CHA	Northeastern	4/23/2013	26.95845	-82.011867
MAT_466	CHA	Northeastern	5/16/2013	26.95435	-82.094983
MAT_467	CHA	Northeastern	10/7/2013	26.8221333	-82.060333
MAT_469	CHA	Northeastern	10/10/2013	26.9436167	-82.13935
MAT_470	CHA	Northeastern	10/10/2013	26.96685	-82.120267
SAB_288	CHA	Northeastern	10/18/2013	26.6783	-82.089467
SAB_293	IND	Atlantic	NA	28.3499167	-80.670833
SAB_299	IND	Atlantic	NA	27.8961667	-80.501367
SAB_313	IND	Atlantic	NA	27.7467833	-80.425733
SAB_323	IND	Atlantic	NA	28.4360333	-80.601383
SAB_331	IND	Atlantic	NA	28.6023167	-80.602033
SAB_336	IND	Atlantic	NA	28.2082833	-80.641433
SAB_338	IND	Atlantic	NA	27.9945667	-80.641433
SAB_341	IND	Atlantic	NA	28.2090833	-80.640833
SAB_343	IND	Atlantic	NA	27.8206667	-80.459117
SAB_344	IND	Atlantic	NA	28.3834667	-80.662833
SAB_347	IND	Atlantic	NA	28.1316667	-80.62435
SAB_349	IND	Atlantic	NA	28.0277833	-80.575267
SAB_374	IND	Atlantic	NA	28.7796833	-80.778383
SAB_377	IND	Atlantic	NA	27.9479667	-80.533767
SAB_378	IND	Atlantic	NA	28.0183167	-80.567183
SAB_394	IND	Atlantic	NA	28.8916833	-80.567183
SAB_433	APA	Northeastern	3/1/2013	29.7787167	-84.873167
SAB_437	APA	Northeastern	3/1/2013	29.7787167	-84.873167
SAB_441	APA	Northeastern	4/10/2013	29.7864167	-84.8721
SAB_450	APA	Northeastern	4/10/2013	29.7604167	-84.888967
SAB_455	APA	Northeastern	5/8/2013	29.6905833	-85.207767
SAB_456	APA	Northeastern	5/8/2013	29.70425	-85.1676
SAB_458	APA	Northeastern	5/15/2013	29.8510833	-84.6399
SAB_459	APA	Northeastern	5/15/2013	29.77205	-84.878333
SAB_464	APA	Northeastern	5/15/2013	29.7220333	-84.890167
SAB_467	APA	Northeastern	5/15/2013	29.7649333	-84.886917
WAS_001	APA	Northeastern	6/5/2013	29.6192833	-85.082583
WAS_002	APA	Northeastern	6/11/2013	29.7843667	-84.888233
