code	country	site	longitude_dec	latitude_dec	avg SST	min SST	max SST	c-var SST	avg Sal	min Sal	max Sal	c-var Sal	avg CDOM	min CDOM	max CDOM	c-var CDOM	Fst	Fst_signif	direction	reference
CAS	Portugal	Castelo do Neiva	-8.842757	41.621624	14.74	13.12	16.9	0.09	35.37	35.07	35.64	0.01	4.93	1.51	8.21	0.42	0	no	south-north	CAS
POR	Spain	Porti±o de Dexo	-8.33264	43.403193	15.35	12.78	18.42	0.15	35.57	35.48	35.78	0	3.26	0.36	6.75	0.66	0.463	signif	south-north	CAS
LOC	France	Locmariaquer	-2.953724	47.491326	13.36	8.44	18.4	0.28	32.69	29.1	34.4	0.06	4.73	1.21	10.26	0.62	0.509	signif	south-north	CAS
STG	France	Saint Gu?nol?	-4.401469	47.820255	13.33	9.64	16.79	0.2	34.91	34.39	35.28	0.01	4.5	0.77	7.9	0.75	0.488	signif	south-north	CAS
LAN	France	Lanildut	-4.792607	48.479023	12.5	9.65	14.74	0.14	35.08	34.73	35.4	0.01	5.1	1.82	8.4	0.46	0.502	signif	south-north	CAS
LEZ	France	L?zardrieux	-3.016897	48.889614	12.66	9.51	15.4	0.15	35.12	34.73	35.6	0.01	5.4	1.62	10.59	0.52	0.523	signif	south-north	CAS
FER	France	Fermanville	-1.486632	49.726228	12.44	9.9	16.9	0.21	34.46	33.5	35.17	0.02	5.14	1.03	8.56	0.48	0.574	signif	south-north	CAS
AUD	France	Audresselles	1.499115	50.851796	11.88	7.34	17.76	0.33	34.17	33.55	34.82	0.01	6.38	3.2	8.53	0.31	0.684	signif	south-north	CAS
HEL	Germany	Helgoland	7.869016	54.19193	10.19	4.65	17.27	0.46	31.28	30.28	32.61	0.02	5.15	1.84	8.33	0.5	0.796	signif	south-north	CAS
ELL	Scotland	Ellenabeich	-5.734236	56.307873	10.06	6.24	13.56	0.23	32.39	31.66	32.94	0.01	3.88	0.84	7.73	0.53	0.559	signif	south-north	CAS
NYA	Norway	Ny-?lesund	9.007976	79.333862	2.72	0.23	6.37	0.75	33.75	32.72	34.32	0.02	1.28	0.23	2.94	0.57	0.611	signif	south-north	CAS
