site	code	sample	Salinity	latitude_dec	longitude_dec
Tjärnö	TJA	26	25	58.881543	11.12043
Kristineberg	KRI	24	23.2	58.246138	11.433238
Kullen	KUL	24	17	56.300396	12.44751
Bjärred	BJA	22	12.2	55.708177	13.019346
Karlskrona	KAR	22	7.2	56.107302	15.571597
Gdansk	GDA	27	7.3	54.489984	18.635559
Askö	ASK	20	6.2	58.805163	18.60157
Tvärminne	TVA	24	5.5	59.821351	23.25707
Simpnäs	SIM	24	5.4	59.883339	19.077748
Grisslehamn	GRI	27	5.4	60.074722	18.830475
Singö	SIN	20	5.3	60.164049	18.816404
Höga kusten	HK	22	4	63.193399	18.822327
