code	longitude_dec	latitude_dec	species
15	166.425954	-22.439972	A. millepora
5	166.727423	-22.486598	A. millepora
20	166.260167	-22.204231	A. millepora
10	167.013587	-22.423084	A. millepora
9	165.053123	-21.469362	A. millepora
4	164.740393	-21.133012	A. millepora
19	164.484526	-20.884673	A. millepora
17	164.326453	-20.767928	A. millepora
16a	164.122932	-20.582193	A. millepora
16b	164.176164	-20.561934	A. millepora
3	166.232052	-21.570243	A. millepora
14	165.705502	-21.819195	A. millepora
7	164.04061	-20.178287	A. millepora
11	164.003399	-20.251358	A. millepora
1	163.994869	-20.152999	A. millepora
6	164.490342	-20.268773	A. millepora
2	164.324214	-20.208029	A. millepora
13	165.742749	-21.252976	A. millepora
18	165.565341	-21.112906	A. millepora
8	166.437693	-21.685699	A. millepora
5	166.727423	-22.486598	P. acuta
20	166.260167	-22.204231	P. acuta
10	167.013587	-22.423084	P. acuta
9	165.053123	-21.469362	P. acuta
4	164.740393	-21.133012	P. acuta
19	164.484526	-20.884673	P. acuta
17	164.326453	-20.767928	P. acuta
16a	164.122932	-20.582193	P. acuta
16b	164.176164	-20.561934	P. acuta
3	166.232052	-21.570243	P. acuta
7	164.04061	-20.178287	P. acuta
11	164.003399	-20.251358	P. acuta
6	164.490342	-20.268773	P. acuta
2	164.324214	-20.208029	P. acuta
13	165.742749	-21.252976	P. acuta
18	165.565341	-21.112906	P. acuta
8	166.437693	-21.685699	P. acuta
15	166.425954	-22.439972	P. damicornis
5	166.727423	-22.486598	P. damicornis
20	166.260167	-22.204231	P. damicornis
10	167.013587	-22.423084	P. damicornis
9	165.053123	-21.469362	P. damicornis
4	164.740393	-21.133012	P. damicornis
19	164.484526	-20.884673	P. damicornis
17	164.326453	-20.767928	P. damicornis
16a	164.122932	-20.582193	P. damicornis
16b	164.176164	-20.561934	P. damicornis
3	166.232052	-21.570243	P. damicornis
14	165.705502	-21.819195	P. damicornis
7	164.04061	-20.178287	P. damicornis
11	164.003399	-20.251358	P. damicornis
6	164.490342	-20.268773	P. damicornis
2	164.324214	-20.208029	P. damicornis
8	166.437693	-21.685699	P. damicornis
