code	sample	date	latitude_dms	longitude_dms	No of usable loci	Average observed heterozygosity	Average expected heterozygosity	Fixation index	Average gene diversity
TJ	20	2014.09.22	38d55mN	 117d59mE	9882	0.2365	0.2733	0.1346	0.2144
YT	19	2014.10.15	37d31mN	 121d34mE	8743	0.2334	0.2659	0.1221	0.2064
WD	20	2014.10.18	36d43mN	 122d2mE	8729	0.2225	0.2714	0.1804	0.2081
LYG	16	2014.11.13	34d51mN	 119d26mE	8578	0.2397	0.2772	0.1352	0.2115
LS	19	2014.11.18	32d8mN	 121d54mE	7781	0.2376	0.2685	0.1151	0.2124
ZS	14	2014.07.28	29d55mN	 122d38mE	7046	0.2202	0.2768	0.2045	0.1971
WZ	20	2014.11.29	27d51mN	 121d20mE	9003	0.2187	0.2669	0.1807	0.186
ST	17	2014.12.04	23d15mN	 116d55mE	7500	0.2193	0.2716	0.1927	0.212
ZJ	20	2015.01.20	21d3mN	 110d45mE	7436	0.215	0.2637	0.1848	0.2009
HK	20	2014.11.20	20d41mN	 109d40mE	8102	0.2141	0.2686	0.2028	0.1994
TSG	16	2014.09.28	21d21mN	 109d20mE	9742	0.2329	0.2735	0.1486	0.194
FCG	18	2014.08.01	21d24mN	 108d22mE	9129	0.2242	0.2734	0.1802	0.2044
