"Title","DOI","Authors","Abstract","Year","Keywords","Type","database"
"Navigating the currents of seascape genomics: how spatial analyses can augment population genomic studies","10.1093/cz/zow067","Riginos, C; Crandall, ED; Liggins, L; Bongaerts, P; Treml, EA","Population genomic approaches are making rapid inroads in the study of non-model organisms, including marine taxa. To date, these marine studies have predominantly focused on rudimentary metrics describing the spatial and environmental context of their study region (e.g., geographical distance, average sea surface temperature, average salinity). We contend that a more nuanced and considered approach to quantifying seascape dynamics and patterns can strengthen population genomic investigations and help identify spatial, temporal, and environmental factors associated with differing selective regimes or demographic histories. Nevertheless, approaches for quantifying marine landscapes are complicated. Characteristic features of the marine environment, including pelagic living in flowing water (experienced by most marine taxa at some point in their life cycle), require a well-designed spatial-temporal sampling strategy and analysis. Many genetic summary statistics used to describe populations may be inappropriate for marine species with large population sizes, large species ranges, stochastic recruitment, and asymmetrical gene flow. Finally, statistical approaches for testing associations between seascapes and population genomic patterns are still maturing with no single approach able to capture all relevant considerations. None of these issues are completely unique to marine systems and therefore similar issues and solutions will be shared for many organisms regardless of habitat. Here, we outline goals and spatial approaches for landscape genomics with an emphasis on marine systems and review the growing empirical literature on seascape genomics. We review established tools and approaches and highlight promising new strategies to overcome select issues including a strategy to spatially optimize sampling. Despite the many challenges, we argue that marine systems may be especially well suited for identifying candidate genomic regions under environmentally mediated selection and that seascape genomic approaches are especially useful for identifying robust locus-by-environment associations.",2016,"adaptation; genetic-environment association; landscape; oceanography; population genomics; remote sensing; seascape genetics","Article","ISI"
"Multi-model seascape genomics identifies distinct environmental drivers of selection among sympatric marine species","10.1186/s12862-020-01679-4","Nielsen, ES; Henriques, R; Beger, M; Toonen, RJ; von der Heyden, S","Background As global change and anthropogenic pressures continue to increase, conservation and management increasingly needs to consider species' potential to adapt to novel environmental conditions. Therefore, it is imperative to characterise the main selective forces acting on ecosystems, and how these may influence the evolutionary potential of populations and species. Using a multi-model seascape genomics approach, we compare putative environmental drivers of selection in three sympatric southern African marine invertebrates with contrasting ecology and life histories: Cape urchin (Parechinus angulosus), Common shore crab (Cyclograpsus punctatus), and Granular limpet (Scutellastra granularis). Results Using pooled (Pool-seq), restriction-site associated DNA sequencing (RAD-seq), and seven outlier detection methods, we characterise genomic variation between populations along a strong biogeographical gradient. Of the three species, onlyS. granularisshowed significant isolation-by-distance, and isolation-by-environment driven by sea surface temperatures (SST). In contrast, sea surface salinity (SSS) and range in air temperature correlated more strongly with genomic variation inC. punctatusandP. angulosus. Differences were also found in genomic structuring between the three species, with outlier loci contributing to two clusters in the East and West Coasts forS. granularisandP. angulosus, but not forC. punctatus. Conclusion The findings illustrate distinct evolutionary potential across species, suggesting that species-specific habitat requirements and responses to environmental stresses may be better predictors of evolutionary patterns than the strong environmental gradients within the region. We also found large discrepancies between outlier detection methodologies, and thus offer a novel multi-model approach to identifying the principal environmental selection forces acting on species. Overall, this work highlights how adding a comparative approach to seascape genomics (both with multiple models and species) can elucidate the intricate evolutionary responses of ecosystems to global change.",2020,"pool-seq; rad-seq; seascape genomics; environmental association; comparative phylogeography; marine invertebrates","Article","ISI"
"Seascape genomics of eastern oyster (Crassostrea virginica) along the Atlantic coast of Canada","10.1111/eva.12741","Bernatchez, S; Xuereb, A; Laporte, M; Benestan, L; Steeves, R; Laflamme, M; Bernatchez, L; Mallet, MA","Interactions between environmental factors and complex life-history characteristics of marine organisms produce the genetic diversity and structure observed within species. Our main goal was to test for genetic differentiation among eastern oyster populations from the coastal region of Canadian Maritimes against expected genetic homogeneity caused by historical events, taking into account spatial and environmental (temperature, salinity, turbidity) variation. This was achieved by genotyping 486 individuals originating from 13 locations using RADSeq. A total of 11,321 filtered SNPs were used in a combination of population genomics and environmental association analyses. We revealed significant neutral genetic differentiation (mean F-ST = 0.009) between sampling locations, and the occurrence of six major genetic clusters within the studied system. Redundancy analyses (RDAs) revealed that spatial and environmental variables explained 3.1% and 4.9% of the neutral genetic variation and 38.6% and 12.2% of the putatively adaptive genetic variation, respectively. These results indicate that these environmental factors play a role in the distribution of both neutral and putatively adaptive genetic diversity in the system. Moreover, polygenic selection was suggested by genotype-environment association analysis and significant correlations between additive polygenic scores and temperature and salinity. We discuss our results in the context of their conservation and management implications for the eastern oyster.",2019,"aquaculture; genomics; genotype by sequencing; oyster; population genetics; radseq","Article","ISI"
"Seascape genomics reveals adaptive divergence in a connected and commercially important mollusc, the greenlip abalone (Haliotis laevigata), along a longitudinal environmental gradient","10.1111/mec.14526","Sandoval-Castillo, J; Robinson, NA; Hart, AM; Strain, LWS; Beheregaray, LB","Populations of broadcast spawning marine organisms often have large sizes and are exposed to reduced genetic drift. Under such scenarios, strong selection associated with spatial environmental heterogeneity is expected to drive localized adaptive divergence, even in the face of connectivity. We tested this hypothesis using a seascape genomics approach in the commercially important greenlip abalone (Haliotis laevigata). We assessed how its population structure has been influenced by environmental heterogeneity along a zonal coastal boundary in southern Australia linked by strong oceanographic connectivity. Our data sets include 9,109 filtered SNPs for 371 abalones from 13 localities and environmental mapping across similar to 800 km. Genotype-environment association analyses and outlier tests defined 8,786 putatively neutral and 323 candidate adaptive loci. From a neutral perspective, the species is better represented by a metapopulation with very low differentiation (global F-ST = 0.0081) and weak isolation by distance following a stepping-stone model. For the candidate adaptive loci, however, model-based and model-free approaches indicated five divergent population clusters. After controlling for spatial distance, the distribution of putatively adaptive variation was strongly correlated to selection linked to minimum sea surface temperature and oxygen concentration. Around 80 candidates were annotated to genes with functions related to high temperature and/or low oxygen tolerance, including genes that influence the resilience of abalone species found in other biogeographic regions. Our study includes a documented example about the uptake of genomic information in fisheries management and supports the hypothesis of adaptive divergence due to coastal environmental heterogeneity in a connected metapopulation of a broadcast spawner.",2018,"climate change; ddrad-seq; ecological genomics; landscape genomics; marine protected areas (mpas); population connectivity; southern australia","Article","ISI"
"Seascape Genomics of the Sugar Kelp Saccharina latissima along the North Eastern Atlantic Latitudinal Gradient","10.3390/genes11121503","Guzinski, J; Ruggeri, P; Ballenghien, M; Mauger, S; Jacquemin, B; Jollivet, C; Coudret, J; Jaugeon, L; Destombe, C; Valero, M","Temperature is one of the most important range-limiting factors for many seaweeds. Driven by the recent climatic changes, rapid northward shifts of species' distribution ranges can potentially modify the phylogeographic signature of Last Glacial Maximum. We explored this question in detail in the cold-tolerant kelp species Saccharina latissima, using microsatellites and double digest restriction site-associated DNA sequencing ( ddRAD-seq) derived single nucleotide polymorphisms (SNPs) to analyze the genetic diversity and structure in 11 sites spanning the entire European Atlantic latitudinal range of this species. In addition, we checked for statistical correlation between genetic marker allele frequencies and three environmental proxies (sea surface temperature, salinity, and water turbidity). Our findings revealed that genetic diversity was significantly higher for the northernmost locality (Spitsbergen) compared to the southern ones (Northern Iberia), which we discuss in light of the current state of knowledge on phylogeography of S. latissima and the potential influence of the recent climatic changes on the population structure of this species. Seven SNPs and 12 microsatellite alleles were found to be significantly associated with at least one of the three environmental variables. We speculate on the putative adaptive functions of the genes associated with the outlier markers and the importance of these markers for successful conservation and aquaculture strategies for S. latissima in this age of rapid global change.",2020,"local adaptation; genetic diversity; outlier loci; environmental variables; phylogeography; snps and microsatellites","Article","ISI"
"Seascape genomics reveals candidate molecular targets of heat stress adaptation in three coral species","10.1111/mec.15857","Selmoni, O; Lecellier, G; Magalon, H; Vigliola, L; Oury, N; Benzoni, F; Peignon, C; Joost, S; Berteaux-Lecellier, V","Anomalous heat waves are causing a major decline of hard corals around the world and threatening the persistence of coral reefs. There are, however, reefs that have been exposed to recurrent thermal stress over the years and whose corals appear to have been tolerant against heat. One of the mechanisms that could explain this phenomenon is local adaptation, but the underlying molecular mechanisms are poorly known. In this work, we applied a seascape genomics approach to study heat stress adaptation in three coral species of New Caledonia (southwestern Pacific) and to uncover the molecular actors potentially involved. We used remote sensing data to characterize the environmental trends across the reef system, and sampled corals living at the most contrasted sites. These samples underwent next generation sequencing to reveal single nucleotide polymorphisms (SNPs), frequencies of which were associated with heat stress gradients. As these SNPs might underpin an adaptive role, we characterized the functional roles of the genes located in their genomic region. In each of the studied species, we found heat stress-associated SNPs located in proximity of genes involved in pathways well known to contribute to the cellular responses against heat, such as protein folding, oxidative stress homeostasis, inflammatory and apoptotic pathways, and DNA damage-repair. In some cases, the same candidate molecular targets of heat stress adaptation recurred among species. Together, these results underline the relevance and the power of the seascape genomics approach for the discovery of adaptive traits that could allow corals to persist across wider thermal ranges.",2021,"coral bleaching; coral reef; heat stress; local adaptation; seascape genomics","Article","ISI"
"Functional genomics to assess biological responses to marine pollution at physiological and evolutionary timescales: toward a vision of predictive ecotoxicology","10.1093/bfgp/elv060","Reid, NM; Whitehead, A","Marine pollution is ubiquitous, and is one of the key factors influencing contemporary marine biodiversity worldwide. To protect marine biodiversity, how do we surveil, document and predict the short- and long-term impacts of pollutants on at-risk species? Modern genomics tools offer high-throughput, information-rich and increasingly cost-effective approaches for characterizing biological responses to environmental stress, and are important tools within an increasing sophisticated kit for surveiling and assessing impacts of pollutants on marine species. Through the lens of recent research in marine killifish, we illustrate how genomics tools may be useful for screening chemicals and pollutants for biological activity and to reveal specific mechanisms of action. The high dimensionality of transcriptomic responses enables their usage as highly specific fingerprints of exposure, and these fingerprints can be used to diagnose environmental problems. We also emphasize that molecular pathways recruited to respond at physiological timescales are the same pathways that may be targets for natural selection during chronic exposure to pollutants. Gene complement and sequence variation in those pathways can be related to variation in sensitivity to environmental pollutants within and among species. Furthermore, allelic variation associated with evolved tolerance in those pathways could be tracked to estimate the pace of environmental health decline and recovery. We finish by integrating these paradigms into a vision of how genomics approaches could anchor a modernized framework for advancing the predictive capacity of environmental and ecotoxicological science.",2016,"evolutionary toxicology; genomics; transcriptomics; predictive toxicology; ecotoxicogenomics; adaptation","Article","ISI"
"Seascape genomics reveals population isolation in the reef-building honeycomb worm,Sabellaria alveolata(L.)","10.1186/s12862-020-01658-9","Muir, AP; Dubois, SF; Ross, RE; Firth, LB; Knights, AM; Lima, FP; Seabra, R; Corre, E; Le Corguille, G; Nunes, FLD","Background Under the threat of climate change populations can disperse, acclimatise or evolve in order to avoid fitness loss. In light of this, it is important to understand neutral gene flow patterns as a measure of dispersal potential, but also adaptive genetic variation as a measure of evolutionary potential. In order to assess genetic variation and how this relates to environment in the honeycomb worm (Sabellaria alveolata(L.)), a reef-building polychaete that supports high biodiversity, we carried out RAD sequencing using individuals from along its complete latitudinal range. Patterns of neutral population genetic structure were compared to larval dispersal as predicted by ocean circulation modelling, and outlier analyses and genotype-environment association tests were used to attempt to identify loci under selection in relation to local temperature data. Results We genotyped 482 filtered SNPs, from 68 individuals across nine sites, 27 of which were identified as outliers using BAYESCAN and ARLEQUIN. All outlier loci were potentially under balancing selection, despite previous evidence of local adaptation in the system. Limited gene flow was observed among reef-sites (F-ST = 0.28 +/- 0.10), in line with the low dispersal potential identified by the larval dispersal models. The North Atlantic reef emerged as a distinct population and this was linked to high local larval retention and the effect of the North Atlantic Current on dispersal. Conclusions As an isolated population, with limited potential for natural genetic or demographic augmentation from other reefs, the North Atlantic site warrants conservation attention in order to preserve not only this species, but above all the crucial functional ecological roles that are associated with their bioconstructions. Our study highlights the utility of using seascape genomics to identify populations of conservation concern.",2020,"radseq; ocean circulation modelling; adaptation; marine invertebrate; larval dispersal","Article","ISI"
"Comparative Genomics Analysis of Streptomyces Species Reveals Their Adaptation to the Marine Environment and Their Diversity at the Genomic Level","10.3389/fmicb.2016.00998","Tian, XP; Zhang, ZW; Yang, TT; Chen, ML; Li, J; Chen, F; Yang, J; Li, WJ; Zhang, B; Zhang, Z; Wu, JY; Zhang, CS; Long, LJ; Xiao, JF","Over 200 genomes of streptomycete strains that were isolated from various environments are available from the NCBI. However, little is known about the characteristics that are linked to marine adaptation in marine-derived streptomycetes. The particularity and complexity of the marine environment suggest that marine streptomycetes are genetically diverse. Here, we sequenced nine strains from the Streptomyces genus that were isolated from different longitudes, latitudes, and depths of the South China Sea. Then we compared these strains to 22 NCBI downloaded streptomycete strains. Thirty-one streptomycete strains are clearly grouped into a marine-derived subgroup and multiple source subgroup-based phylogenetic tree. The phylogenetic analyses have revealed the dynamic process underlying streptomycete genome evolution, and lateral gene transfer is an important driving force during the process. Pan-genomics analyses have revealed that streptomycetes have an open pan-genome, which reflects the diversity of these streptomycetes and guarantees the species a quick and economical response to diverse environments. Functional and comparative genomics analyses indicate that the marine-derived streptomycetes subgroup possesses some common characteristics of marine adaptation. Our findings have expanded our knowledge of how ocean isolates of streptomycete strains adapt to marine environments. The availability of streptomycete genomes from the South China Sea will be beneficial for further analysis on marine streptomycetes and will enrich the South China Sea's genetic data sources.",2016,"comparative genomics; streptomycete; pan-genomics; genome dynamics; marine environment adaptation","Article","ISI"
"Seascape Genomics Reveals Metapopulation Connectivity Network of Paramuricea biscaya in the Northern Gulf of Mexico","10.3389/fmars.2021.790929","Galaska, MP; Liu, GP; West, D; Erickson, K; Quattrini, AM; Bracco, A; Herrera, S","The degree of connectivity among populations influences their ability to respond to natural and anthropogenic stressors. In marine systems, determining the scale, rate, and directionality of larval dispersal is therefore, central to understanding how coral metapopulations are interconnected and the degree of resiliency in the event of a localized disturbance. Understanding these source-sink dynamics is essential to guide restoration efforts and for the study of ecology and evolution in the ocean. The patterns and mechanisms of connectivity in the deep-sea (>200 m deep) are largely understudied. In this study, we investigated the spatial diversity patterns and metapopulation connectivity of the octocoral Paramuricea biscaya throughout the northern Gulf of Mexico (GoM). Paramuricea biscaya is one of the most abundant corals on the lower continental slope (between 1,200 and 2,500 m) in the GoM. The 2010 Deepwater Horizon oil spill (DWH) directly impacted populations of this species and thus are considered primary targets for restoration. We used a combination of seascape genomic analyses, high-resolution ocean circulation modeling, and larval dispersal simulations to quantify the degree of population structuring and connectivity among P. biscaya populations. Evidence supports the hypotheses that the genetic diversity of P. biscaya is structured by depth, and that larval dispersal among connected populations is asymmetric due to dominant ocean circulation patterns. Our results suggest that there are intermediate unsampled populations in the central GoM that serve as stepping stones for dispersal. The data suggest that the DeSoto Canyon area, and possibly the West Florida Escarpment, critically act as sources of larvae for areas impacted by the DWH oil spill in the Mississippi Canyon. This work illustrates that the management of deep-sea marine protected areas should incorporate knowledge of connectivity networks and depth-dependent processes throughout the water column.",2021,"population genomics; connectivity; gulf of mexico; coral; seascape genomics; radseq; dispersal; deep-sea","Article","ISI"
