"ID","Author","DOI","Title","Generic","Species","Common name","Habitat","HabitatII","Pelagic Larval Duration (days)","PLD reference","Conservation status","Fishery resource","World region","Biogeographic region","Country","Technical","enzimes","Number Samples","Outlier detection method","SNPs","Neutral loci","Outlier loci","Neutral","Adaptive","Environmental association","Main environemntal driver adaptive","Environmental data","Environmental Database","gene-environment software","Anotation associated markers","Notes","Genome data access","Environment data access","Collection latitude lower","Collection latitude higher","Current","Sampling coordinates","Coordinate path","Include"
1,"Muir, AP; Dubois, SF; Ross, RE; Firth, LB; Knights, AM; Lima, FP; Seabra, R; Corre, E; Le Corguille, G; Nunes, FLD","10.1186/s12862-020-01658-9","Seascape genomics reveals population isolation in the reef-building honeycomb worm,Sabellaria alveolata(L.)","Worm",NA,"Honeycomb worm","Benthic","Sand","28 - 70","10.3354/meps07011",NA,"No","North East Atlantic","3; 18; 5","Scotland- Morocco","RAD-seq","EcorI; Msel",68,"Bayescan; Arlequin",482,455,"27","IBD",NA,"No",NA,"Mean temperature; maximun temperature; minimun temperature; temperature range; standard deviation of the temperature mean; daily temperature range; daily standard distribution of temperature","Seabra et al 2015, Dataloggers","Bayenv2",NA,"North Atlantic reef identified as isolated population but with no correlation to the environment due to the effect og dispersal of the North Atlantic current","https://www.ncbi.nlm.nih.gov/bioproject/645800","https://figshare.com/articles/dataset/Seascape_genomics_reveals_population_isolation_in_the_reef-building_honeycomb_worm_Sabellaria_alveolata_L_/12645896",31.95,55.38,"Mediterranean; North Atlantic",NA,NA,NA
2,"Bernatchez, S; Xuereb, A; Laporte, M; Benestan, L; Steeves, R; Laflamme, M; Bernatchez, L; Mallet, MA","10.1111/eva.12741","Seascape genomics of eastern oyster (Crassostrea virginica) along the Atlantic coast of Canada","Bivalve",NA,"Eastern oyster","Benthic","Rock","30","10.1111/eva.12741",NA,"Yes","North West Atlantic","18","Canada","RAD-seq","Nsil; Mspl",486,"Bayescan; Arlequin; Outflank",11321,8594,"6","IBD","IBD","yes","Mean temperature; Mean salinity","Mean surface temperature; Mean surface salinity; Mean turbidty","Fisheries and Oceans Canada","RDA","Ion binding; ATP binding; immunity; Integral component of the cell","This study area represents the northern range limit for eastern oysters, it seems particularly likely that temperature is a selective agent acting on eastern oysters","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA506239",NA,45.8,48,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\eva.12741",NA
3,"Nielsen, ES; Henriques, R; Beger, M; Toonen, RJ; von der Heyden, S","10.1186/s12862-020-01679-4(1)","Multi-model seascape genomics identifies distinct environmental drivers of selection among sympatric marine species","Gastropod","Scutellastra granularis","Granular limpet","Benthic","Rock","5 - 15","10.1186/s12862-020-01679-6",NA,"No","South Africa","27","South Africa","pooled EZRAD","Kapa Hyper Prep kit",549,"BPC; BPA; LFMM; MSOD; MSR; RDA; dbRDA",1658,1645,"13","IBD","IBE","yes","Mean sea surface temperature","Surface salinity range; Mean surface salinity; Minimun surface salinity; Maximum surface salinity; Surface temperature range; Mean surface temperature; Minimun surface temperature; Maximun surface temperature; Mean chlorophyll concentration; Mean diffuse atteniation coefficient at 490 nm; Mean Dissolved oxygen;Mean pH; Temperature range; Mean air temperature; Maximun air temperature; Minimun air temperature; Mean precipitation; Maximun precipitation; Minimum precipitation; Precipitation range","biooracle, Worldclim","LFMM; RDA","DNA-binding; protein heterodimerization; regulation of DNA recombination and chromatin silencing; GTPase activity; cell adhesion","The distinct IBD and IBE patterns found in S. granularis could be owing to this species having the shortest pelagic larval duration of the three study species, or due to it being a habitat specialist, preferring sheltered boulder shores [51]. Additionally, S. granularis was found to have the lowest thermal toler- ance of four co-occurring mid-shore limpets [52], indi- cating that it may be highly sensitive to the temperature gradient within the region","https://www.ncbi.nlm.nih.gov/sra/?term=PRJNA660200%20",NA,-33.5,-31,"Benguela","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\s12862-020-01679-4(1)",NA
4,"Nielsen, ES; Henriques, R; Beger, M; Toonen, RJ; von der Heyden, S","10.1186/s12862-020-01679-4(2)","Multi-model seascape genomics identifies distinct environmental drivers of selection among sympatric marine species","Echinoderm","Parechinus angulosis","Cape urchin","Benthic","Rock","50","10.1186/s12862-020-01679-6",NA,"No","South Africa","27","South Africa","pooled EZRAD","Kapa Hyper Prep kit",558,"BPC; BPA; LFMM; MSOD; MSR; RDA; dbRDA",822,810,"12","Panmixia",NA,"no",NA,"Surface salinity range; Mean surface salinity; Minimun surface salinity; Maximum surface salinity; Surface temperature range; Mean surface temperature; Minimun surface temperature; Maximun surface temperature; Mean chlorophyll concentration; Mean diffuse atteniation coefficient at 490 nm; Mean Dissolved oxygen;Mean pH; Temperature range; Mean air temperature; Maximun air temperature; Minimun air temperature; Mean precipitation; Maximun precipitation; Minimum precipitation; Precipitation range","biooracle, Worldclim","LFMM; RDA","DNA-binding; protein heterodimerization; regulation of DNA recombination and chromatin silencing","The distinct IBD and IBE patterns found in S. granularis could be owing to this species having the shortest pelagic larval duration of the three study species, or due to it being a habitat specialist, preferring sheltered boulder shores [51]. Additionally, S. granularis was found to have the lowest thermal toler- ance of four co-occurring mid-shore limpets [52], indi- cating that it may be highly sensitive to the temperature gradient within the region","https://www.ncbi.nlm.nih.gov/sra/?term=PRJNA660200%21",NA,-33.5,-31,"Benguela","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\s12862-020-01679-4(2)",NA
5,"Nielsen, ES; Henriques, R; Beger, M; Toonen, RJ; von der Heyden, S","10.1186/s12862-020-01679-4(3)","Multi-model seascape genomics identifies distinct environmental drivers of selection among sympatric marine species","Crustacean","Cyclograpsus punctatus","Common shore crab","Benthic","Rock","5 - 15","10.1186/s12862-020-01679-6",NA,"No","South Africa","27","South Africa","pooled EZRAD","Kapa Hyper Prep kit",514,"BPC; BPA; LFMM; MSOD; MSR; RDA; dbRDA",1192,1164,"28","Panmixia",NA,"no",NA,"Surface salinity range; Mean surface salinity; Minimun surface salinity; Maximum surface salinity; Surface temperature range; Mean surface temperature; Minimun surface temperature; Maximun surface temperature; Mean chlorophyll concentration; Mean diffuse atteniation coefficient at 490 nm; Mean Dissolved oxygen;Mean pH; Temperature range; Mean air temperature; Maximun air temperature; Minimun air temperature; Mean precipitation; Maximun precipitation; Minimum precipitation; Precipitation range","biooracle, Worldclim","LFMM; RDA","Protein and ion transport; carbohydrate metabolism; DNA-binding and synthesis; anaphase-promoting complex","The distinct IBD and IBE patterns found in S. granularis could be owing to this species having the shortest pelagic larval duration of the three study species, or due to it being a habitat specialist, preferring sheltered boulder shores [51]. Additionally, S. granularis was found to have the lowest thermal toler- ance of four co-occurring mid-shore limpets [52], indi- cating that it may be highly sensitive to the temperature gradient within the region","https://www.ncbi.nlm.nih.gov/sra/?term=PRJNA660200%22",NA,-33.5,-31,"Benguela","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\s12862-020-01679-4(3)",NA
6,"Sandoval-Castillo, J; Robinson, NA; Hart, AM; Strain, LWS; Beheregaray, LB","10.1111/mec.14526","Seascape genomics reveals adaptive divergence in a connected and commercially important mollusc, the greenlip abalone (Haliotis laevigata), along a longitudinal environmental gradient","Gastropod","Haliotis laevigata","Greenlip abalone","Benthic","Rock","7 - 11","10.2983/035.036.0116",NA,"Yes","South West Pacific","26","Australia","ddRAD-seq","Sbfl-HF; Msel",371,"Lositan; Bayescan",9109,8786,"323","Metapopulation","IBE","yes","Minimum sea surface temperature; Oxygen concentration","pH spring; Nutrient concentration spring; Oxygen concentration spring; Sea surface temperature spring; pH summer; Nutrient concentration summer; Oxygen concentration summer; Sea surface temperature summer; pH mean annual; Nutrients concentration mean annual; sea surface temperature mean annual; Minimum annual sea surface temperature; maximum annual sea surface temperature","NOAA World Ocean Database","MRDM","Aerobic metabolism; ATP energetics; glycolysis; nitrogen compound metabolic process; CoA-liase activity; citrate metabolic process; dicarboxylic metabolic process","Neutral genetic structure was remark- ably low across the study region (global FST = 0.0081; 95% CI = 0.0074–0.0088), and it was weakly correlated with coastal dis- tance (R2 = .34; p < .001). On the other hand, model-based and model-free approaches using a candidate loci data set revealed five putatively adaptive clusters largely congruent with oceanographic regions discriminated by environmental PCA","https://datadryad.org/stash/dataset/doi:10.5061/dryad.1cf2p",NA,-35.003,-33.85,"Antartic circumpolar","Yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.14526",NA
7,"Guzinski, J; Ruggeri, P; Ballenghien, M; Mauger, S; Jacquemin, B; Jollivet, C; Coudret, J; Jaugeon, L; Destombe, C; Valero, M","10.3390/genes11121503","Seascape Genomics of the Sugar Kelp Saccharina latissima along the North Eastern Atlantic Latitudinal Gradient","Kelp","Saccharina latissima","Sugar kelp","Benthic","Rock",NA,NA,NA,"No","North East Atlantic","18; 3; 8; 4","Portugal - Spitsbergen","ddRAD-seq",NA,199,"Arlequin",4069,3730,"339","IBD","IBE","yes","Mean sea surface temperature; Minimun sea surface temperatura; Maximum sea surface temperature; coefficient of variation sea surface temperature","Mean sea surface temperature; Minimun sea surface temperatura; Maximum sea surface temperature; coefficient of variation sea surface temperature; Mean salinity; Minimum salinity; Maximum salinity; Coeficient of variation salinity; Mean chromophoric dissolved organic material; Minimum chromophoric dissolved organic material; Maximum chromophoric dissolved organic material; Coeficient of variation chromophoric dissolved organic material","SeaDataNet; ERDDAP","PAST","Phosphomannose isomerase 1; Mannuronan C-5 epimerase","The high and significant pairwise FST values revealed that there was substantial genetic differentiation between all pairs of the populations we analyzed, whereas the DAPC suggested that the sampling localities were largely independent entities, as there were only a few occurrences of individuals that were not assigned to their locality of origin or that displayed mixed ancestry, and in those instances the exchange of migrants largely took place between the nearby localities","https://datadryad.org/stash/dataset/doi:10.5061/dryad.1jwstqjt8","https://www.seadatanet.org/; https://coastwatch.pfeg.noaa.gov/erddap/griddap/erdMHcdom8day.html",41.62,79.33,"North Atlantic Drift","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\genes11121503",NA
8,"Selmoni, O; Lecellier, G; Magalon, H; Vigliola, L; Oury, N; Benzoni, F; Peignon, C; Joost, S; Berteaux-Lecellier, V","10.1111/mec.15857","Seascape genomics reveals candidate molecular targets of heat stress adaptation in three coral species","Coral",NA,NA,"Benthic","Reef",NA,NA,"Near threatened (IUCN)","No","South West Pacific","16","New Caledonia","DArT-seq","Pstl; HpaII",188,"PCADAPT",11935,11598,"346","IBE",NA,"yes","standard deviation  sea surface temperature","Mean sea surface temperature; Standard deviation sea surface temperature; maximum sea surface temperature; minimum sea surface temperature; Mean sea surface salinity; Standard deviation sea surface salinity; Maximum sea surface salinity; Minimum sea surface salinity; Mean chlorophyll; Standard deviation chlorophyll; Maximum chlorophyll; Minimum chlorophyll; Mean current velocity; standard deviation current velocity; Maximum current velocity; Minimum current velocity; Mean suspenden particulate matter; maximum particulate matter, minimum particulate matter; Bleaching alert",NA,"LFMM","P53 binding; 5-3 exoribonuclease activity; Chaperone binding","Genes located in proximity of the SNPs associated with heat stress displayed some molecular functions that are known to be implicated in coral heat stress responses. In some cases, such functions were found in proximity of the few SNPs significantly associated with heat stress. More often, however, we found such functions as over- represented among groups of SNPs that are associated with heat stress, but necessarily significantly associated. One",NA,NA,-23.5,-20,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.15857",NA
9,"Selmoni, O; Lecellier, G; Magalon, H; Vigliola, L; Oury, N; Benzoni, F; Peignon, C; Joost, S; Berteaux-Lecellier, V","10.1111/mec.15857","Seascape genomics reveals candidate molecular targets of heat stress adaptation in three coral species","Coral",NA,NA,"Benthic","Reef",NA,NA,"Least concern (IUCN)","No","South West Pacific","16","New Caledonia","DArT-seq","Pstl; HpaII",128,"PCADAPT",7895,7617,"278","IBE",NA,"yes","standard deviation  sea surface temperature","Mean sea surface temperature; Standard deviation sea surface temperature; maximum sea surface temperature; minimum sea surface temperature; Mean sea surface salinity; Standard deviation sea surface salinity; Maximum sea surface salinity; Minimum sea surface salinity; Mean chlorophyll; Standard deviation chlorophyll; Maximum chlorophyll; Minimum chlorophyll; Mean current velocity; standard deviation current velocity; Maximum current velocity; Minimum current velocity; Mean suspenden particulate matter; maximum particulate matter, minimum particulate matter; Bleaching alert",NA,"LFMM","5-3 exoribonuclease activity; Hsp70 protein binding; opioid receptor binding; chaperone binding","Genes located in proximity of the SNPs associated with heat stress displayed some molecular functions that are known to be implicated in coral heat stress responses. In some cases, such functions were found in proximity of the few SNPs significantly associated with heat stress. More often, however, we found such functions as over- represented among groups of SNPs that are associated with heat stress, but necessarily significantly associated. One",NA,NA,-23.5,-20,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.15857",NA
10,"Selmoni, O; Lecellier, G; Magalon, H; Vigliola, L; Oury, N; Benzoni, F; Peignon, C; Joost, S; Berteaux-Lecellier, V","10.1111/mec.15857","Seascape genomics reveals candidate molecular targets of heat stress adaptation in three coral species","Coral","Pocillopora acuta",NA,"Benthic","Reef",NA,NA,NA,"No","South West Pacific","16","New Caledonia","DArT-seq","Pstl; HpaII",150,"PCADAPT",8345,8080,"267","IBE",NA,"yes","Maximum sea surface temperature; Mean sea surface salinity","Mean sea surface temperature; Standard deviation sea surface temperature; maximum sea surface temperature; minimum sea surface temperature; Mean sea surface salinity; Standard deviation sea surface salinity; Maximum sea surface salinity; Minimum sea surface salinity; Mean chlorophyll; Standard deviation chlorophyll; Maximum chlorophyll; Minimum chlorophyll; Mean current velocity; standard deviation current velocity; Maximum current velocity; Minimum current velocity; Mean suspenden particulate matter; maximum particulate matter, minimum particulate matter; Bleaching alert",NA,"LFMM","P53 binding; Hsp70 binding; opioid receptor binding","Genes located in proximity of the SNPs associated with heat stress displayed some molecular functions that are known to be implicated in coral heat stress responses. In some cases, such functions were found in proximity of the few SNPs significantly associated with heat stress. More often, however, we found such functions as over- represented among groups of SNPs that are associated with heat stress, but necessarily significantly associated. One",NA,NA,-23.5,-20,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.15857",NA
